L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy_mean,float_f1_mean,float_roc_auc_mean,float_pr_auc_mean,lut_numpy_accuracy_mean,lut_numpy_f1_mean,lut_numpy_roc_auc_mean,lut_numpy_pr_auc_mean,lut_numba_accuracy_mean,lut_numba_f1_mean,lut_numba_roc_auc_mean,lut_numba_pr_auc_mean,float_accuracy_std,float_f1_std,float_roc_auc_std,float_pr_auc_std,lut_numpy_accuracy_std,lut_numpy_f1_std,lut_numpy_roc_auc_std,lut_numpy_pr_auc_std,lut_numba_accuracy_std,lut_numba_f1_std,lut_numba_roc_auc_std,lut_numba_pr_auc_std
4,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989368554550826,0.9988591999195945,0.9886184139348696,0.9887163205766261,0.9989368570937929,0.9988592032409912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989368554550826,0.9988591999195945,0.9886184139348696,0.9887163205766261,0.9989368570937929,0.9988592032409912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.99905284874007,0.9989945011988975,0.9894839337877313,0.9895584917821463,0.9990528482718674,0.9989945011265838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.99905284874007,0.9989945011988975,0.9894839337877313,0.9895584917821463,0.9990528482718674,0.9989945011265838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990527977059556,0.9989944396683382,0.9894839337877313,0.9895584917821463,0.9990527977059557,0.9989944395820771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990527977059556,0.9989944396683382,0.9894839337877313,0.9895584917821463,0.9990527977059557,0.9989944395820771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.99905284874007,0.9989945011988974,0.9894839337877313,0.9895584917821463,0.9990528482718674,0.9989945011265838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.99905284874007,0.9989945011988974,0.9894839337877313,0.9895584917821463,0.9990528482718674,0.9989945011265838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990527977059556,0.9989944396683382,0.9894839337877313,0.9895584917821463,0.9990527977059557,0.9989944395820771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990527977059556,0.9989944396683382,0.9894839337877313,0.9895584917821463,0.9990527977059557,0.9989944395820771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946842404038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946842404038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946845983482,0.9894839337877313,0.9895584917821463,0.9990530126110799,0.9989946843348712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
