L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_accuracy_mean,float_f1_mean,float_roc_auc_mean,float_pr_auc_mean,lut_numpy_accuracy_mean,lut_numpy_f1_mean,lut_numpy_roc_auc_mean,lut_numpy_pr_auc_mean,lut_numba_accuracy_mean,lut_numba_f1_mean,lut_numba_roc_auc_mean,lut_numba_pr_auc_mean,float_ms_per_sample_mean,lut_numpy_ms_per_sample_mean,lut_numba_ms_per_sample_mean,lut_numpy_e2e_ms_per_sample_mean,lut_numba_e2e_ms_per_sample_mean,float_total_bytes_mean,lut_total_bytes_mean,lut_q_table_bytes_mean,lut_scale_bytes_mean,lut_y_min_bytes_mean,lut_knots_bytes_mean,float_accuracy_std,float_f1_std,float_roc_auc_std,float_pr_auc_std,lut_numpy_accuracy_std,lut_numpy_f1_std,lut_numpy_roc_auc_std,lut_numpy_pr_auc_std,lut_numba_accuracy_std,lut_numba_f1_std,lut_numba_roc_auc_std,lut_numba_pr_auc_std,float_ms_per_sample_std,lut_numpy_ms_per_sample_std,lut_numba_ms_per_sample_std,lut_numpy_e2e_ms_per_sample_std,lut_numba_e2e_ms_per_sample_std,float_total_bytes_std,lut_total_bytes_std,lut_q_table_bytes_std,lut_scale_bytes_std,lut_y_min_bytes_std,lut_knots_bytes_std
4,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989403569103568,0.9988634639096443,0.9886184139348696,0.9887163205766261,0.9989403566762555,0.9988634630043961,146.71758439987897,6.989163120090962,0.025706120021641254,163.8879399979487,162.06549499649554,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5095028077222503,0.07124719913603761,0.0009437637850641343,1.4605716526555426,2.130658810147482,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989403569103568,0.9988634639096443,0.9886184139348696,0.9887163205766261,0.9989403566762555,0.9988634630043961,0.8349746781223075,0.06182716523471754,0.013108681252560928,0.6799044296894863,0.6495113124947238,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012822425823479608,0.001101058509160761,0.0003351232429507531,0.014688857133757048,0.0113481434563229,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989393163294451,0.9988621728749842,0.9886184139348696,0.9887163205766261,0.9989393198409668,0.9988621815030558,147.9495317198336,7.675955800153315,0.025883880071341993,164.57708700094372,162.00420799199492,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250013074992158,0.12218582111243252,0.001772962741684784,1.5503030982685637,1.5813958589544639,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989393163294451,0.9988621728749842,0.9886184139348696,0.9887163205766261,0.9989393198409668,0.9988621815030558,0.8391495562518685,0.06721115547043155,0.012972041015018476,0.6774009257969738,0.6469979297071404,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00912690452149552,0.000864937748799204,0.00010129290933470116,0.006842584907511889,0.011129850716149131,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989373503455321,0.9988597969634265,0.9886184139348696,0.9887163205766261,0.9989373491750249,0.9988597968872014,161.01973799988627,7.484620479866862,0.02867987975478172,178.8649669988081,178.06331099476665,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.525557171892874,1.6745282305371647,0.008518677716028461,35.22047161049239,33.86852426259127,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989373503455321,0.9988597969634265,0.9886184139348696,0.9887163205766261,0.9989373491750249,0.9988597968872014,0.9771486937497684,0.07176668320425961,0.015414149218486273,0.770506964836386,0.7276727109274361,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2969553892467629,0.02384901256226716,0.005528301313070597,0.22489850750729656,0.1804655312972738,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989368554550826,0.9988591999195945,0.9886184139348696,0.9887163205766261,0.9989368570937929,0.9988592032409912,167.83250559978188,8.586144920252263,0.025336320325732232,168.73911899980158,185.02870700322092,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.072718147151946,2.4367503208018406,0.0010496817990074902,11.908077072109428,52.760088168478056,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989368554550826,0.9988591999195945,0.9886184139348696,0.9887163205766261,0.9989368570937929,0.9988592032409912,0.8616023039048741,0.06890862851469137,0.013383389063164941,0.6890189023397397,0.6724333476631728,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04728206396948194,0.0055654403506055,0.000645101213857221,0.019034571227151846,0.06410701997361112,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989373503455321,0.9988597969634265,0.9886184139348696,0.9887163205766261,0.9989373491750249,0.9988597968049431,146.47639659997077,7.067761399783194,0.02695716004818678,164.22222800087184,163.4187169978395,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3077881121476806,0.09119910580721688,0.00455491000025271,3.2753301613217753,4.008666902477555,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,0.9899491507086445,0.9900067768897303,0.9991061054136088,0.9990538477962826,0.9886184139348696,0.9887163205766261,0.9989373503455321,0.9988597969634265,0.9886184139348696,0.9887163205766261,0.9989373491750249,0.9988597968049431,0.8327306531264185,0.06257482929686375,0.013334269531696918,0.6733051328046713,0.6546994023301522,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007545979563024334,0.0005210233942082125,0.00016628206548497543,0.005844464100352455,0.015820184510632152,0.0,0.0,0.0,0.0,0.0,0.0
